,temperature_mean,max_temperature_mean,min_temperature_mean,precipitation_mean,rain_mean,snow_mean,precipitation_hours_mean,wind_speed_mean,wind_gusts_mean,shortwave_radiation_mean
29/5,13.47298735,17.477987524999996,9.1854875,1.8499999849999997,1.8499999849999997,0.0,3.65,19.2728442,39.7799993,18.6995
30/5,13.7208004875,17.8029875,9.170487525,1.2999999660000001,1.2999999660000001,0.0,3.675,18.585359750000002,39.176998675,19.201249999999998
31/5,13.938716912500002,17.799237525000002,9.524237500000002,1.6800000385,1.6800000385,0.0,3.525,17.6021777875,36.25199945,18.3405
1/6,14.312154199999998,18.356737525,9.731737525,1.9774999985000001,1.9774999985000001,0.0,3.95,17.6142104375,36.77399917499999,17.36425
2/6,14.6959044125,18.6317375,10.5879875,2.029999955,2.029999955,0.0,3.35,19.037487199999998,38.9789993,17.79925
3/6,14.203091925,17.9892375,10.1492375,1.8549999874999998,1.8549999874999998,0.0,4.425,19.03864834,39.779998725,18.193
4/6,14.0724667375,18.2079875,9.697987524999998,1.7175000470000001,1.7175000470000001,0.0,3.575,17.9355464625,37.0079992,18.276249999999997
5/6,14.212779125,18.080487525000002,9.900487524999999,2.9024999599999997,2.9024999599999997,0.0,4.975,19.1049705625,39.248999125,17.361
6/6,14.4518936,18.387987525,10.285487499999999,2.2324999775,2.2324999775,0.0,4.6,19.6071596,41.156998725,18.11
7/6,14.817154025000002,18.81173755,10.672987500000001,2.59750004625,2.59750004625,0.0,5.275,18.469693725000003,39.041999,18.563
8/6,14.556216687500001,18.517987525000002,10.261737550000001,2.02999996475,2.02999996475,0.0,4.175,19.375197800000002,40.355999275,19.39175
9/6,14.715799624999999,18.661737499999997,10.31423755,1.02250000875,1.02250000875,0.0,3.025,18.375053995000002,38.7899991,19.7175
10/6,14.745019000000003,18.505487549999998,10.829237525,2.7025000150000005,2.7025000150000005,0.0,4.55,19.2901817375,39.644998975,18.71525
11/6,14.34751895,17.9154875,10.489237525,2.5924999499999997,2.5924999499999997,0.0,4.65,18.5686708625,38.717999075,16.740249999999996
12/6,14.6583002375,18.336737524999997,10.596737525,2.162499882,2.162499882,0.0,4.475,18.322420632500002,37.997999175000004,18.02775
13/6,15.0139248625,19.007987500000002,10.706737525,1.41249998,1.41249998,0.0,2.9,17.755568925,36.755998975,18.729999999999997
14/6,15.380018824999999,19.4042375,10.940487525,1.9875000125,1.9875000125,0.0,3.5,17.883403837499998,37.430998624999994,19.127
15/6,15.042935312500001,18.937987525,10.812987500000002,1.45750001,1.45750001,0.0,3.0,18.4879628,38.330999225,19.927249999999997
16/6,15.238196049999999,19.0154875,11.0279875,1.6725000337500002,1.6725000337500002,0.0,2.925,17.747401200000002,35.8289992875,17.9965
17/6,15.649497787500001,19.617987499999998,11.341737525,1.310000025,1.310000025,0.0,2.9,18.7682777,38.7269994,18.597749999999998
18/6,15.6671545,19.599237499999997,11.375487549999999,1.0325,1.0325,0.0,2.9,18.544816062499997,38.006999175,18.621499999999997
19/6,16.0715817625,20.099237525,11.5379875,1.4299999125,1.4299999125,0.0,2.9,19.231501774999998,39.509999175000004,19.30125
20/6,15.938039674999999,19.9379875,11.5742375,1.2850000485,1.2850000485,0.0,2.625,18.5884662,38.195999275,18.541999999999998
21/6,15.6644977625,19.462987525,11.5742375,1.13750006,1.13750006,0.0,2.675,19.98511805,41.057999425000006,19.82675
22/6,15.577675125000003,19.3504875,11.335487525,2.7100000174999996,2.7100000174999996,0.0,4.9,20.296830445,42.029999149999995,18.195249999999998
23/6,15.874446037500002,19.9054875,11.489237500000002,2.4775001025,2.4775001025,0.0,3.75,18.0595334375,38.123999325,18.71575
24/6,15.885904275000001,19.719237549999995,11.7017375,2.1225000025,2.1225000025,0.0,3.55,17.567372400000004,36.395999425,18.29525
25/6,16.234914699999997,20.184237524999997,11.9342375,1.9925000210000001,1.9925000210000001,0.0,3.175,17.4330224375,36.071999,18.19425
26/6,16.393768825000002,20.4829875,12.0692375,1.9050000319999998,1.9050000319999998,0.0,3.475,18.093942675,37.268999425000004,19.058
27/6,16.4953833,20.446737525000003,12.489237524999998,2.0499999925,2.0499999925,0.0,3.8,18.698819829999998,38.483999524999994,18.520500000000002
28/6,16.2071543625,20.1767375,11.817987550000002,1.6474999650000002,1.6474999650000002,0.0,3.475,18.740887299999997,39.050999225,19.1795
29/6,16.564914475000002,20.690487524999998,11.960487500000001,1.6324999887499998,1.6324999887499998,0.0,3.25,19.12931885,39.55499935,19.53675
30/6,16.790644012500003,20.8992375,12.2504875,1.907500036,1.907500036,0.0,3.825,18.550749175,38.04299842499999,19.406000000000002
1/7,16.652831325,20.614237499999998,12.341737525,1.6424999825,1.6424999825,0.0,4.15,20.048967775,42.074998775,19.077499999999997
2/7,16.609706075,20.5567375,12.300487525,1.54250000625,1.54250000625,0.0,3.375,17.70082235,36.278999250000005,18.57625
3/7,16.710956650000004,20.690487525,12.324237499999999,1.9149999774999997,1.9149999774999997,0.0,3.95,17.449629675,36.881999125,19.49625
4/7,17.0899668,21.260487525,12.3017375,1.5699999935,1.5699999935,0.0,3.375,18.703888424999995,38.600998875,19.826249999999998
5/7,17.3553836,21.446737525,13.117987500000002,2.7225000825,2.7225000825,0.0,4.375,18.49202065,38.150999375000005,19.3825
6/7,17.16652915,21.189237525,12.795487524999999,1.480000025,1.480000025,0.0,3.15,17.911730069999997,37.3319993125,19.119999999999997
7/7,17.092518899999998,20.974237499999997,12.8717375,2.9350000475,2.9350000475,0.0,4.25,17.3822047875,36.737999025,18.376749999999998
8/7,17.269966875,21.275487499999997,13.047987549999998,1.93750003625,1.93750003625,0.0,3.8,17.641082457499998,36.098999275,17.2935
9/7,17.072622825000003,20.996737500000002,13.104237500000002,1.8699999185000002,1.8699999185000002,0.0,3.475,19.7055189875,40.040999049999996,16.94275
10/7,17.088872625,21.1242375,12.840487525,1.01750001625,1.01750001625,0.0,3.25,19.373404825,39.896999300000004,18.86525
11/7,17.28642505,21.4379875,12.9917375,1.405,1.405,0.0,3.2,19.09330675,39.041999350000005,19.487000000000002
12/7,17.12928975,21.149237525,12.95673755,0.9324999795,0.9324999795,0.0,2.45,18.547394175,38.330999075,17.8615
13/7,17.233299762500003,21.271737525,13.020487524999998,1.89,1.89,0.0,4.15,17.74476261,37.77299967500001,17.552249999999997
14/7,17.425799675,21.1617375,13.4592375,1.667499995,1.667499995,0.0,4.15,18.486923400000002,38.285999275,16.930500000000002
15/7,17.750956425000002,21.839237500000003,13.372987500000002,0.9574999887500001,0.9574999887500001,0.0,2.725,18.168875875,37.4939993,17.8355
